Nazione,CodNazione,Anno,"Adolescent fertility rate (births per 1,000 women ages 15-19)","Agriculture, forestry, and fishing, value added (% of GDP)","Annual freshwater withdrawals, total (% of internal resources)",Births attended by skilled health staff (% of total),"Contraceptive prevalence, any method (% of married women ages 15-49)",Domestic credit provided by financial sector (% of GDP),Electric power consumption (kWh per capita),Energy use (kg of oil equivalent per capita),Exports of goods and services (% of GDP),"External debt stocks, total (DOD, current US$)","Fertility rate, total (births per woman)","Foreign direct investment, net inflows (BoP, current US$)",Forest area (sq. km),GDP (current US$),GDP growth (annual %),"GNI per capita, Atlas method (current US$)","GNI per capita, PPP (current international $)","GNI, Atlas method (current US$)","GNI, PPP (current international $)",Gross capital formation (% of GDP),High-technology exports (% of manufactured exports),"Immunization, measles (% of children ages 12-23 months)",Imports of goods and services (% of GDP),Income share held by lowest 20%,"Industry (including construction), value added (% of GDP)","Inflation, GDP deflator (annual %)","Life expectancy at birth, total (years)",Merchandise trade (% of GDP),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),"Mortality rate, under-5 (per 1,000 live births)",Net barter terms of trade index (2015 = 100),Net migration,Net official development assistance and official aid received (current US$),"Personal remittances, received (current US$)",Population density (people per sq. km of land area),Population growth (annual %),"Population, total",Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Poverty headcount ratio at national poverty lines (% of population),"Prevalence of HIV, total (% of population ages 15-49)","Prevalence of underweight, weight for age (% of children under 5)","Primary completion rate, total (% of relevant age group)","Revenue, excluding grants (% of GDP)","School enrollment, primary (% gross)","School enrollment, primary and secondary (gross), gender parity index (GPI)","School enrollment, secondary (% gross)",Surface area (sq. km),Tax revenue (% of GDP),Terrestrial and marine protected areas (% of total territorial area),Time required to start a business (days),"Total debt service (% of exports of goods, services and primary income)",Urban population growth (annual %)
Argentina,ARG,2014,66.613,6.713,12.908,99.6,,34.432,3049.363,2013.194,14.405,156380868988,2.312,5065335542,293204,526319673732,-2.513,12240,19090,526784533342,821243666294,17.263,7.061,95.0,14.001,5.0,24.277,40.283,77,25.486,0.878,143,12.2,104.744,5794,48790001,505346892,15.721,1.032,43024071,0.6,,0.4,,105.393,22.332,113.962,1.031,106.092,2780400,12.611,,24,20.17,1.172
Argentina,ARG,2015,63.879,5.157,12.908,99.6,,40.428,,,10.706,187972586466,2.301,11758994011,290970,594749285413,2.731,12500,19530,543279945585,848959683417,17.071,9.226,89.0,11.781,,23.153,26.58,77,19.67,0.85,143,11.8,100.0,5464,-18870001,494433532,15.887,1.047,43477012,,,0.4,,106.053,22.149,113.778,1.028,107.549,2780400,12.337,,24,24.734,1.185
Argentina,ARG,2016,58.79,6.265,12.908,98.4,,37.932,,,12.527,191717702191,2.241,3260164342,290100,557532320663,-2.08,12130,19660,532504167160,863207236895,17.663,8.982,90.0,13.567,4.9,22.054,41.119,76,20.405,0.813,146,11.4,106.082,5215,2620000,391579048,16.041,0.969,43900313,0.7,30.3,0.4,,106.544,21.257,112.944,1.021,109.646,2780400,12.097,7.529,24,35.883,1.104
Argentina,ARG,2017,55.022,5.232,12.908,93.9,,38.868,,,11.32,236683642186,2.168,11516861462,288990,643628393281,2.819,13070,22790,578798149501,1009263951778,18.213,9.205,89.0,13.969,5.0,21.782,26.006,77,19.511,0.856,141,11.0,103.008,4931,-1170000,479937460,16.183,0.881,44288894,0.6,25.7,0.4,,101.582,19.337,111.681,1.02,110.412,2780400,10.94,7.405,24,51.73,1.014
Argentina,ARG,2018,49.926,4.538,12.908,99.5,,,,,14.437,296726558406,2.039,11716769819,287910,524819892360,-2.617,12390,23540,553193024104,1051149861699,16.614,5.403,94.0,16.326,4.9,23.72,42.034,77,24.249,0.732,132,10.6,104.242,5742,73220001,522441503,16.317,0.823,44654882,1.0,32.0,0.4,2.0,100.282,17.702,111.546,1.021,109.697,2780400,9.992,7.405,11,51.549,0.955
Argentina,ARG,2019,41.751,5.319,12.908,99.6,,,,,17.925,299354360388,1.994,6649187838,286810,447754683615,-2.001,11210,22590,504056284871,1016089122556,14.21,5.213,86.0,14.706,4.6,23.158,49.196,77,25.514,0.7,126,10.3,103.336,5397,8890000,561398445,16.434,0.711,44973465,1.1,35.5,0.4,,100.383,18.736,111.365,1.021,110.499,2780400,10.594,9.393,12,51.1,0.843
Argentina,ARG,2020,31.492,6.357,12.908,98.8,70.1,,,,16.605,275474929879,1.911,4884127676,285730,385740508437,-9.9,9040,21790,408628794999,984724060445,14.415,6.904,77.0,13.598,4.7,22.409,40.083,76,25.209,0.734,122,10.0,103.975,292,101730003,648090050,16.513,0.485,45191965,1.2,42.0,0.4,,103.838,17.479,110.618,1.024,112.417,2780400,10.866,9.398,,43.098,0.615
Argentina,ARG,2021,28.54,7.291,12.908,,,,,,18.067,266759890414,1.885,6658049679,284637,486564085480,10.442,10070,25770,456257174738,1167816126453,18.076,4.423,86.0,15.012,5.0,23.499,53.802,75,29.003,0.631,130,9.7,113.899,314,155259995,902789422,16.557,0.266,45312281,0.9,37.3,0.4,,105.48,18.076,110.156,,116.559,2780400,11.5,9.398,,31.025,0.394
Argentina,ARG,2022,25.767,6.638,,,,,,,16.248,266900361822,1.876,15200600518,283552,632790070063,5.27,11820,29050,536800679799,1319279474947,17.28,4.752,85.0,15.3,5.4,24.008,69.876,76,26.86,0.411,132,9.4,,5589,384070007,1056459896,16.592,0.211,45407904,0.6,39.2,0.4,,103.232,17.927,108.722,,115.435,2780400,11.123,9.553,,33.259,0.339
Australia,AUS,2014,13.072,2.221,3.753,99.8,,,10071.399,5334.682,21.088,,1.826,63204516348,1323848,1468265356428,2.595,65220,45680,1531110933521,1072277311567,26.727,18.996,94.0,21.396,7.6,25.565,1.405,82,32.51,1.773,107,4.0,111.329,200177,,2329656677,3.056,1.492,23475686,0.5,,0.1,,,24.363,105.462,,,7741220,21.898,,2,,1.608
Australia,AUS,2015,12.038,2.376,1.874,98.8,,,,5483.816,20.066,,1.814,46892808568,1330945,1351296372254,2.19,60520,45330,1441462730286,1079597418998,26.274,19.692,95.0,21.598,,23.681,-0.624,82,29.319,1.954,108,3.9,100.0,212350,,2174651380,3.1,1.439,23815995,,,0.1,,,24.509,101.665,0.925,159.111,7741220,21.874,,2,,1.555
Australia,AUS,2016,10.939,2.406,2.159,98.8,66.9,,,,19.279,,1.752,42970225978,1340372,1206836962282,2.759,54100,46140,1308840699663,1116133022930,25.448,20.628,95.0,21.695,7.5,22.32,-0.663,82,32.214,2.089,110,3.8,99.866,254648,,2056844753,3.145,1.562,24190907,0.5,,0.1,,,24.863,101.181,0.925,155.594,7741220,22.276,28.592,2,,1.677
Australia,AUS,2017,10.235,2.706,2.451,99.4,,,,,21.257,,1.741,48199372040,1340174,1325582658157,2.28,51480,47040,1266055498561,1156953422314,24.176,18.097,94.0,20.947,,23.474,3.653,82,34.695,2.004,108,3.8,116.395,255023,,2001928453,3.197,1.647,24592588,,,0.1,,,24.842,100.638,0.938,153.576,7741220,22.11,29.709,2,,1.768
